Time,Sample,#,Type,Sub,Chan,Num,Aux
00:00.4,47,F,0,0,0,,
00:01.3,168,N,0,0,0,,
00:02.2,284,F,0,0,0,,
00:03.2,406,N,0,0,0,,
00:04.1,520,V,0,0,0,,
00:05.0,644,N,0,0,0,,
00:05.9,754,V,0,0,0,,
00:06.9,879,N,0,0,0,,
00:07.7,984,V,0,0,0,,
00:08.6,1107,N,0,0,0,,
00:09.5,1215,V,0,0,0,,
00:10.4,1334,N,0,0,0,,
00:11.3,1445,F,0,0,0,,
00:12.2,1561,N,0,0,0,,
00:13.1,1676,F,0,0,0,,
00:14.1,1800,N,0,0,0,,
00:14.9,1906,V,0,0,0,,
00:15.9,2038,N,0,0,0,,
00:16.7,2134,V,0,0,0,,
00:17.8,2281,N,0,0,0,,
00:18.7,2399,N,0,0,0,,
00:19.6,2515,N,0,0,0,,
00:20.5,2630,N,0,0,0,,
00:21.4,2744,N,0,0,0,,
00:22.4,2862,N,0,0,0,,
00:23.3,2981,N,0,0,0,,
00:24.3,3106,N,0,0,0,,
00:25.1,3218,V,0,0,0,,
00:26.1,3343,N,0,0,0,,
00:27.0,3451,V,0,0,0,,
00:28.0,3584,N,0,0,0,,
00:28.7,3679,V,0,0,0,,
00:29.9,3823,N,0,0,0,,
00:30.8,3942,N,0,0,0,,
00:31.7,4059,N,0,0,0,,
00:32.6,4177,N,0,0,0,,
00:33.6,4296,F,0,0,0,,
00:34.5,4419,N,0,0,0,,
00:35.4,4529,V,0,0,0,,
00:36.4,4659,N,0,0,0,,
00:37.2,4757,V,0,0,0,,
00:38.3,4897,N,0,0,0,,
00:38.8,4972,V,0,0,0,,
00:40.1,5132,N,0,0,0,,
00:41.0,5248,N,0,0,0,,
00:41.9,5364,N,0,0,0,,
00:42.8,5479,N,0,0,0,,
00:43.7,5597,N,0,0,0,,
00:44.7,5720,N,0,0,0,,
00:45.6,5831,V,0,0,0,,
00:46.6,5964,N,0,0,0,,
00:47.3,6056,V,0,0,0,,
00:48.5,6205,N,0,0,0,,
00:49.4,6325,N,0,0,0,,
00:50.3,6444,N,0,0,0,,
00:51.3,6565,N,0,0,0,,
00:52.2,6679,V,0,0,0,,
00:53.1,6801,N,0,0,0,,
00:54.0,6909,V,0,0,0,,
00:54.9,7033,N,0,0,0,,
00:55.8,7140,V,0,0,0,,
00:56.7,7263,N,0,0,0,,
00:57.6,7373,V,0,0,0,,
00:58.5,7490,N,0,0,0,,
00:59.4,7605,F,0,0,0,,
